22142, 978, 116, 85, 1.01, 0.01, 0.01, -14335, 23551, 2303, 3964
21871, 1658, 57, 126, 1.00, -0.02, 0.08, -13823, 28671, 767, 3932
21757, 1289, 93, 81, 1.02, -0.04, 0.12, -13823, 27391, 511, 3900
21616, 1480, 184, 126, 1.01, -0.02, 0.06, -12287, 26879, 511, 3869
21057, 1240, 139, 68, 1.00, -0.01, 0.04, -14079, 27391, 511, 3836
20557, 1230, 57, 67, 1.00, -0.07, 0.16, -13311, 28415, 255, 3804
20511, 739, 73, 55, 1.02, -0.03, 0.08, -14335, 29951, -770, 3772
21057, 1473, 105, 90, 1.00, -0.03, 0.11, -14591, 30207, -1794, 3741
20397, 1052, 98, 33, 1.00, -0.02, 0.06, -14591, 30719, -1794, 3709
20146, 1831, 142, 150, 1.01, -0.08, 0.19, -15103, -32001, -2562, 3676
19753, 1743, 156, 168, 1.01, 0.00, 0.03, -14847, -31745, -3586, 3643
19908, 1545, 118, 120, 0.99, -0.06, 0.16, -14847, -30465, -3330, 3609
19885, 1215, 166, 57, 1.00, -0.00, 0.03, -15103, -30721, -3330, 3576
19718, 1546, 110, 138, 1.03, -0.04, 0.10, -14591, -28673, -4866, 3542
18885, 1869, 169, 127, 1.00, -0.02, 0.06, -14847, -27393, -5378, 3509
18382, 1814, 89, 140, 1.00, -0.04, 0.14, -15103, -26369, -5122, 3475
17901, 1804, 152, 161, 1.02, -0.08, 0.19, -12031, -24833, -7170, 3442
17405, 1419, 75, 84, 1.01, -0.06, 0.15, -15103, -24321, -5634, 3408
16031, 1331, 127, 100, 1.00, -0.01, 0.07, -15359, -22785, -7170, 3375
11539, 1115, 94, 71, 1.01, -0.00, 0.04, -16639, -20481, -6402, 3342
10413, 1390, 129, 99, 1.02, -0.05, 0.13, -15103, -20225, -7682, 3309
9651, 1384, 170, 107, 1.02, 0.01, 0.00, -15359, -19457, -6914, 3276
9423, 1500, 88, 137, 1.00, -0.05, 0.14, -15103, -17409, -8706, 3243
9221, 1724, 145, 179, 1.01, -0.02, 0.09, -15615, -15873, -8450, 3210
10192, 1184, 114, 75, 1.01, -0.01, 0.04, -15103, -16129, -9218, 3177
207, 1453, 134, 120, 0.99, -0.06, 0.16, -16383, -14081, -8706, 3143
14045, 2346, 119, 230, 1.01, -0.01, 0.06, -15615, -12801, -8194, 3110
14325, 1909, 139, 151, 1.03, -0.06, 0.14, -15615, -11777, -8450, 3077
16045, 1568, 119, 140, 1.02, 0.02, -0.02, -15871, -10497, -9218, 3043
16430, 1250, 103, 96, 1.00, -0.04, 0.11, -13567, -9217, -8962, 3009
17084, 1229, 179, 31, 1.01, 0.02, -0.02, -15871, -8449, -8450, 2977
17258, 1726, 98, 164, 1.00, -0.08, 0.17, -16639, -7169, -8706, 2944
17050, 1260, 139, 71, 1.00, -0.01, 0.06, -16383, -2817, -8450, 2911
16373, 1501, 109, 91, 1.01, 0.00, 0.01, -14591, -4865, -8706, 2878
16668, 1475, 36, 118, 1.01, -0.06, 0.14, -16895, -4097, -8962, 2845
16683, 2122, 86, 187, 1.00, -0.05, 0.14, -16127, -2049, -8194, 2813
16727, 1069, 110, 59, 1.01, 0.01, 0.00, -17407, -1, -8194, 2780
16964, 929, 89, 45, 1.02, -0.05, 0.11, -16639, -1, -8194, 2748
16856, 1324, 84, 71, 1.01, -0.02, 0.06, -17663, 1024, -7682, 2718
16426, 1275, 102, 105, 1.01, -0.07, 0.17, -15871, 768, -7682, 2685
17402, 1543, 99, 126, 1.00, -0.02, 0.06, -16895, 4096, -7170, 2653
16954, 1570, 84, 78, 1.00, -0.04, 0.10, -17151, 4608, -6914, 2620
17274, 1807, 132, 157, 0.98, -0.10, 0.23, -17151, 6144, -6914, 2588
17095, 1071, 161, 85, 1.01, 0.02, -0.01, -15615, 4864, -5890, 2555
17110, 1348, 87, 54, 1.02, 0.00, 0.00, -17407, 7424, -6658, 2523
17308, 1081, 62, 152, 1.00, -0.07, 0.16, -17407, 8960, -7170, 2491
17048, 1782, 114, 158, 1.01, -0.01, 0.05, -17407, 10240, -5890, 2459
17479, 993, 84, 56, 1.02, 0.01, -0.00, -14591, 9984, -5122, 2426
17336, 1407, 123, 117, 0.99, -0.08, 0.20, -17407, 12800, -5122, 2394
17398, 1739, 163, 138, 1.01, -0.03, 0.07, -17407, 13312, -5122, 2361
